"","plotn","stage","date","time","temp","name","DateTime"
"80",2,2,2023-07-11,02:01:00,3,"plant",2023-07-11 02:01:00
"81",2,2,2023-07-11,04:01:00,2,"plant",2023-07-11 04:01:00
"82",2,2,2023-07-11,06:01:00,2,"plant",2023-07-11 06:01:00
"83",2,2,2023-07-11,08:01:00,3,"plant",2023-07-11 08:01:00
"84",2,2,2023-07-11,10:01:00,3.5,"plant",2023-07-11 10:01:00
"85",2,2,2023-07-11,12:01:00,5,"plant",2023-07-11 12:01:00
"86",2,2,2023-07-11,14:01:00,6,"plant",2023-07-11 14:01:00
"87",2,2,2023-07-11,16:01:00,6,"plant",2023-07-11 16:01:00
"88",2,2,2023-07-11,18:01:00,5,"plant",2023-07-11 18:01:00
"89",2,2,2023-07-11,20:01:00,3.5,"plant",2023-07-11 20:01:00
"90",2,2,2023-07-11,22:01:00,3,"plant",2023-07-11 22:01:00
"91",2,2,2023-07-12,00:01:00,2,"plant",2023-07-12 00:01:00
"92",2,2,2023-07-12,02:01:00,2.5,"plant",2023-07-12 02:01:00
"93",2,2,2023-07-12,04:01:00,2.5,"plant",2023-07-12 04:01:00
"94",2,2,2023-07-12,06:01:00,2.5,"plant",2023-07-12 06:01:00
"95",2,2,2023-07-12,08:01:00,3,"plant",2023-07-12 08:01:00
"96",2,2,2023-07-12,10:01:00,5,"plant",2023-07-12 10:01:00
"97",2,2,2023-07-12,12:01:00,6.5,"plant",2023-07-12 12:01:00
"98",2,2,2023-07-12,14:01:00,6.5,"plant",2023-07-12 14:01:00
"99",2,2,2023-07-12,16:01:00,7.5,"plant",2023-07-12 16:01:00
"100",2,2,2023-07-12,18:01:00,6,"plant",2023-07-12 18:01:00
"101",2,2,2023-07-12,20:01:00,4,"plant",2023-07-12 20:01:00
"102",2,2,2023-07-12,22:01:00,3.5,"plant",2023-07-12 22:01:00
"103",2,2,2023-07-13,00:01:00,3.5,"plant",2023-07-13 00:01:00
"104",2,2,2023-07-13,02:01:00,3,"plant",2023-07-13 02:01:00
"105",2,2,2023-07-13,04:01:00,3,"plant",2023-07-13 04:01:00
"106",2,2,2023-07-13,06:01:00,2.5,"plant",2023-07-13 06:01:00
"107",2,2,2023-07-13,08:01:00,2.5,"plant",2023-07-13 08:01:00
"108",2,2,2023-07-13,10:01:00,5,"plant",2023-07-13 10:01:00
"109",2,2,2023-07-13,12:01:00,6.5,"plant",2023-07-13 12:01:00
"110",2,2,2023-07-13,14:01:00,7.5,"plant",2023-07-13 14:01:00
"111",2,2,2023-07-13,16:01:00,8,"plant",2023-07-13 16:01:00
"112",2,2,2023-07-13,18:01:00,6,"plant",2023-07-13 18:01:00
"113",2,2,2023-07-13,20:01:00,4.5,"plant",2023-07-13 20:01:00
"114",2,2,2023-07-13,22:01:00,4,"plant",2023-07-13 22:01:00
"115",2,2,2023-07-14,00:01:00,3.5,"plant",2023-07-14 00:01:00
"116",2,2,2023-07-14,02:01:00,3.5,"plant",2023-07-14 02:01:00
"117",2,2,2023-07-14,04:01:00,3,"plant",2023-07-14 04:01:00
"118",2,2,2023-07-14,06:01:00,2.5,"plant",2023-07-14 06:01:00
"119",2,2,2023-07-14,08:01:00,3,"plant",2023-07-14 08:01:00
"120",2,2,2023-07-14,10:01:00,4,"plant",2023-07-14 10:01:00
"121",2,2,2023-07-14,12:01:00,5.5,"plant",2023-07-14 12:01:00
"122",2,2,2023-07-14,14:01:00,6.5,"plant",2023-07-14 14:01:00
"123",2,2,2023-07-14,16:01:00,8,"plant",2023-07-14 16:01:00
"124",2,2,2023-07-14,18:01:00,7,"plant",2023-07-14 18:01:00
"125",2,2,2023-07-14,20:01:00,5,"plant",2023-07-14 20:01:00
"126",2,2,2023-07-14,22:01:00,3.5,"plant",2023-07-14 22:01:00
"127",2,2,2023-07-15,00:01:00,3,"plant",2023-07-15 00:01:00
"128",2,2,2023-07-15,02:01:00,3,"plant",2023-07-15 02:01:00
"129",2,2,2023-07-15,04:01:00,3,"plant",2023-07-15 04:01:00
"130",2,2,2023-07-15,06:01:00,3,"plant",2023-07-15 06:01:00
"131",2,2,2023-07-15,08:01:00,3.5,"plant",2023-07-15 08:01:00
"132",2,2,2023-07-15,10:01:00,5,"plant",2023-07-15 10:01:00
"133",2,2,2023-07-15,12:01:00,6,"plant",2023-07-15 12:01:00
"134",2,2,2023-07-15,14:01:00,8,"plant",2023-07-15 14:01:00
"135",2,2,2023-07-15,16:01:00,9.5,"plant",2023-07-15 16:01:00
"136",2,2,2023-07-15,18:01:00,7.5,"plant",2023-07-15 18:01:00
"137",2,2,2023-07-15,20:01:00,5.5,"plant",2023-07-15 20:01:00
"138",2,2,2023-07-15,22:01:00,4.5,"plant",2023-07-15 22:01:00
"139",2,2,2023-07-16,00:01:00,4,"plant",2023-07-16 00:01:00
"140",2,2,2023-07-16,02:01:00,3.5,"plant",2023-07-16 02:01:00
"141",2,2,2023-07-16,04:01:00,3.5,"plant",2023-07-16 04:01:00
"142",2,2,2023-07-16,06:01:00,3,"plant",2023-07-16 06:01:00
"143",2,2,2023-07-16,08:01:00,3.5,"plant",2023-07-16 08:01:00
"144",2,2,2023-07-16,10:01:00,4.5,"plant",2023-07-16 10:01:00
"145",2,2,2023-07-16,12:01:00,5.5,"plant",2023-07-16 12:01:00
"146",2,2,2023-07-16,14:01:00,7,"plant",2023-07-16 14:01:00
"147",2,2,2023-07-16,16:01:00,8,"plant",2023-07-16 16:01:00
"148",2,2,2023-07-16,18:01:00,5.5,"plant",2023-07-16 18:01:00
"149",2,2,2023-07-16,20:01:00,4.5,"plant",2023-07-16 20:01:00
"150",2,2,2023-07-16,22:01:00,4,"plant",2023-07-16 22:01:00
"151",2,2,2023-07-17,00:01:00,3.5,"plant",2023-07-17 00:01:00
"152",2,2,2023-07-17,02:01:00,3,"plant",2023-07-17 02:01:00
"153",2,2,2023-07-17,04:01:00,3,"plant",2023-07-17 04:01:00
"154",2,2,2023-07-17,06:01:00,3,"plant",2023-07-17 06:01:00
"155",2,2,2023-07-17,08:01:00,3.5,"plant",2023-07-17 08:01:00
"156",2,2,2023-07-17,10:01:00,5,"plant",2023-07-17 10:01:00
"157",2,2,2023-07-17,12:01:00,6.5,"plant",2023-07-17 12:01:00
"158",2,2,2023-07-17,14:01:00,7,"plant",2023-07-17 14:01:00
"159",2,2,2023-07-17,16:01:00,7.5,"plant",2023-07-17 16:01:00
"160",2,2,2023-07-17,18:01:00,5.5,"plant",2023-07-17 18:01:00
"161",2,2,2023-07-17,20:01:00,4.5,"plant",2023-07-17 20:01:00
"162",2,2,2023-07-17,22:01:00,4,"plant",2023-07-17 22:01:00
"163",2,2,2023-07-18,00:01:00,3.5,"plant",2023-07-18 00:01:00
"164",2,2,2023-07-18,02:01:00,3,"plant",2023-07-18 02:01:00
"165",2,2,2023-07-18,04:01:00,3,"plant",2023-07-18 04:01:00
"166",2,2,2023-07-18,06:01:00,3,"plant",2023-07-18 06:01:00
"167",2,2,2023-07-18,08:01:00,3,"plant",2023-07-18 08:01:00
"168",2,2,2023-07-18,10:01:00,3,"plant",2023-07-18 10:01:00
"169",2,2,2023-07-18,12:01:00,5.5,"plant",2023-07-18 12:01:00
"170",2,2,2023-07-18,14:01:00,6.5,"plant",2023-07-18 14:01:00
"171",2,2,2023-07-18,16:01:00,6.5,"plant",2023-07-18 16:01:00
"172",2,2,2023-07-18,18:01:00,4.5,"plant",2023-07-18 18:01:00
"173",2,2,2023-07-18,20:01:00,3.5,"plant",2023-07-18 20:01:00
"174",2,2,2023-07-18,22:01:00,3,"plant",2023-07-18 22:01:00
"175",2,2,2023-07-19,00:01:00,2,"plant",2023-07-19 00:01:00
"176",2,2,2023-07-19,02:01:00,1.5,"plant",2023-07-19 02:01:00
"177",2,2,2023-07-19,04:01:00,1,"plant",2023-07-19 04:01:00
"178",2,2,2023-07-19,06:01:00,1,"plant",2023-07-19 06:01:00
"179",2,2,2023-07-19,08:01:00,1.5,"plant",2023-07-19 08:01:00
"180",2,2,2023-07-19,10:01:00,3.5,"plant",2023-07-19 10:01:00
"181",2,2,2023-07-19,12:01:00,5,"plant",2023-07-19 12:01:00
"182",2,2,2023-07-19,14:01:00,5.5,"plant",2023-07-19 14:01:00
"183",2,2,2023-07-19,16:01:00,6,"plant",2023-07-19 16:01:00
"184",2,2,2023-07-19,18:01:00,4.5,"plant",2023-07-19 18:01:00
"185",2,2,2023-07-19,20:01:00,3,"plant",2023-07-19 20:01:00
"186",2,2,2023-07-19,22:01:00,3,"plant",2023-07-19 22:01:00
"187",2,2,2023-07-20,00:01:00,3,"plant",2023-07-20 00:01:00
"188",2,2,2023-07-20,02:01:00,3,"plant",2023-07-20 02:01:00
"189",2,2,2023-07-20,04:01:00,3,"plant",2023-07-20 04:01:00
"190",2,2,2023-07-20,06:01:00,2.5,"plant",2023-07-20 06:01:00
"191",2,2,2023-07-20,08:01:00,2.5,"plant",2023-07-20 08:01:00
"192",2,2,2023-07-20,10:01:00,3.5,"plant",2023-07-20 10:01:00
"193",2,2,2023-07-20,12:01:00,5,"plant",2023-07-20 12:01:00
"194",2,2,2023-07-20,14:01:00,8,"plant",2023-07-20 14:01:00
"195",2,2,2023-07-20,16:01:00,8.5,"plant",2023-07-20 16:01:00
"196",2,2,2023-07-20,18:01:00,6,"plant",2023-07-20 18:01:00
"197",2,2,2023-07-20,20:01:00,4.5,"plant",2023-07-20 20:01:00
"198",2,2,2023-07-20,22:01:00,3.5,"plant",2023-07-20 22:01:00
"199",2,2,2023-07-21,00:01:00,3,"plant",2023-07-21 00:01:00
"200",2,2,2023-07-21,02:01:00,3,"plant",2023-07-21 02:01:00
"201",2,2,2023-07-21,04:01:00,3,"plant",2023-07-21 04:01:00
"202",2,2,2023-07-21,06:01:00,3,"plant",2023-07-21 06:01:00
"203",2,2,2023-07-21,08:01:00,3,"plant",2023-07-21 08:01:00
"204",2,2,2023-07-21,10:01:00,4.5,"plant",2023-07-21 10:01:00
"205",2,2,2023-07-21,12:01:00,6.5,"plant",2023-07-21 12:01:00
"206",2,2,2023-07-21,14:01:00,8,"plant",2023-07-21 14:01:00
"207",2,2,2023-07-21,16:01:00,8.5,"plant",2023-07-21 16:01:00
"208",2,2,2023-07-21,18:01:00,6.5,"plant",2023-07-21 18:01:00
"209",2,2,2023-07-21,20:01:00,4.5,"plant",2023-07-21 20:01:00
"210",2,2,2023-07-21,22:01:00,3.5,"plant",2023-07-21 22:01:00
"211",2,2,2023-07-22,00:01:00,3.5,"plant",2023-07-22 00:01:00
"212",2,2,2023-07-22,02:01:00,3,"plant",2023-07-22 02:01:00
"213",2,2,2023-07-22,04:01:00,3,"plant",2023-07-22 04:01:00
"214",2,2,2023-07-22,06:01:00,3,"plant",2023-07-22 06:01:00
"215",2,2,2023-07-22,08:01:00,3.5,"plant",2023-07-22 08:01:00
"216",2,2,2023-07-22,10:01:00,4.5,"plant",2023-07-22 10:01:00
"217",2,2,2023-07-22,12:01:00,7,"plant",2023-07-22 12:01:00
"218",2,2,2023-07-22,14:01:00,7,"plant",2023-07-22 14:01:00
"219",2,2,2023-07-22,16:01:00,7,"plant",2023-07-22 16:01:00
"220",2,2,2023-07-22,18:01:00,5.5,"plant",2023-07-22 18:01:00
"221",2,2,2023-07-22,20:01:00,4.5,"plant",2023-07-22 20:01:00
"222",2,2,2023-07-22,22:01:00,3.5,"plant",2023-07-22 22:01:00
"223",2,2,2023-07-23,00:01:00,3,"plant",2023-07-23 00:01:00
"224",2,2,2023-07-23,02:01:00,3,"plant",2023-07-23 02:01:00
"225",2,2,2023-07-23,04:01:00,3,"plant",2023-07-23 04:01:00
"226",2,2,2023-07-23,06:01:00,2,"plant",2023-07-23 06:01:00
"227",2,2,2023-07-23,08:01:00,2.5,"plant",2023-07-23 08:01:00
"228",2,2,2023-07-23,10:01:00,4,"plant",2023-07-23 10:01:00
"229",2,2,2023-07-23,12:01:00,5.5,"plant",2023-07-23 12:01:00
"230",2,2,2023-07-23,14:01:00,6,"plant",2023-07-23 14:01:00
"231",2,2,2023-07-23,16:01:00,6,"plant",2023-07-23 16:01:00
"232",2,2,2023-07-23,18:01:00,5,"plant",2023-07-23 18:01:00
"233",2,2,2023-07-23,20:01:00,4,"plant",2023-07-23 20:01:00
"234",2,2,2023-07-23,22:01:00,3.5,"plant",2023-07-23 22:01:00
"235",2,2,2023-07-24,00:01:00,3,"plant",2023-07-24 00:01:00
"236",2,2,2023-07-24,02:01:00,3,"plant",2023-07-24 02:01:00
"237",2,2,2023-07-24,04:01:00,3,"plant",2023-07-24 04:01:00
"238",2,2,2023-07-24,06:01:00,3,"plant",2023-07-24 06:01:00
"239",2,2,2023-07-24,08:01:00,3,"plant",2023-07-24 08:01:00
"240",2,2,2023-07-24,10:01:00,3.5,"plant",2023-07-24 10:01:00
"241",2,2,2023-07-24,12:01:00,6,"plant",2023-07-24 12:01:00
"242",2,2,2023-07-24,14:01:00,7.5,"plant",2023-07-24 14:01:00
"243",2,2,2023-07-24,16:01:00,7.5,"plant",2023-07-24 16:01:00
"244",2,2,2023-07-24,18:01:00,6,"plant",2023-07-24 18:01:00
"245",2,2,2023-07-24,20:01:00,4,"plant",2023-07-24 20:01:00
"246",2,2,2023-07-24,22:01:00,4,"plant",2023-07-24 22:01:00
"247",2,2,2023-07-25,00:01:00,3.5,"plant",2023-07-25 00:01:00
"248",2,2,2023-07-25,02:01:00,3.5,"plant",2023-07-25 02:01:00
"249",2,2,2023-07-25,04:01:00,3.5,"plant",2023-07-25 04:01:00
"250",2,2,2023-07-25,06:01:00,3.5,"plant",2023-07-25 06:01:00
"251",2,2,2023-07-25,08:01:00,4,"plant",2023-07-25 08:01:00
"252",2,2,2023-07-25,10:01:00,6,"plant",2023-07-25 10:01:00
"253",2,2,2023-07-25,12:01:00,9,"plant",2023-07-25 12:01:00
"254",2,2,2023-07-25,14:01:00,11.5,"plant",2023-07-25 14:01:00
"255",2,2,2023-07-25,16:01:00,11.5,"plant",2023-07-25 16:01:00
"256",2,2,2023-07-25,18:01:00,7.5,"plant",2023-07-25 18:01:00
"257",2,2,2023-07-25,20:01:00,5,"plant",2023-07-25 20:01:00
"258",2,2,2023-07-25,22:01:00,3.5,"plant",2023-07-25 22:01:00
"259",2,2,2023-07-26,00:01:00,2.5,"plant",2023-07-26 00:01:00
"260",2,2,2023-07-26,02:01:00,2,"plant",2023-07-26 02:01:00
"261",2,2,2023-07-26,04:01:00,1.5,"plant",2023-07-26 04:01:00
"262",2,2,2023-07-26,06:01:00,1.5,"plant",2023-07-26 06:01:00
"263",2,2,2023-07-26,08:01:00,3.5,"plant",2023-07-26 08:01:00
"264",2,2,2023-07-26,10:01:00,13,"plant",2023-07-26 10:01:00
"265",2,2,2023-07-26,12:01:00,14.5,"plant",2023-07-26 12:01:00
"266",2,2,2023-07-26,14:01:00,14.5,"plant",2023-07-26 14:01:00
"267",2,2,2023-07-26,16:01:00,12.5,"plant",2023-07-26 16:01:00
"268",2,2,2023-07-26,18:01:00,9.5,"plant",2023-07-26 18:01:00
"269",2,2,2023-07-26,20:01:00,7.5,"plant",2023-07-26 20:01:00
"270",2,2,2023-07-26,22:01:00,5.5,"plant",2023-07-26 22:01:00
"271",2,2,2023-07-27,00:01:00,5,"plant",2023-07-27 00:01:00
"272",2,2,2023-07-27,02:01:00,4.5,"plant",2023-07-27 02:01:00
"273",2,2,2023-07-27,04:01:00,4,"plant",2023-07-27 04:01:00
"274",2,2,2023-07-27,06:01:00,4,"plant",2023-07-27 06:01:00
"275",2,2,2023-07-27,08:01:00,4.5,"plant",2023-07-27 08:01:00
"276",2,2,2023-07-27,10:01:00,6,"plant",2023-07-27 10:01:00
"277",2,2,2023-07-27,12:01:00,10.5,"plant",2023-07-27 12:01:00
"278",2,2,2023-07-27,14:01:00,15,"plant",2023-07-27 14:01:00
"279",2,2,2023-07-27,16:01:00,13.5,"plant",2023-07-27 16:01:00
"280",2,2,2023-07-27,18:01:00,10,"plant",2023-07-27 18:01:00
"281",2,2,2023-07-27,20:01:00,7.5,"plant",2023-07-27 20:01:00
"282",2,2,2023-07-27,22:01:00,6,"plant",2023-07-27 22:01:00
"283",2,2,2023-07-28,00:01:00,4.5,"plant",2023-07-28 00:01:00
"284",2,2,2023-07-28,02:01:00,4.5,"plant",2023-07-28 02:01:00
"285",2,2,2023-07-28,04:01:00,4.5,"plant",2023-07-28 04:01:00
"286",2,2,2023-07-28,06:01:00,4,"plant",2023-07-28 06:01:00
"287",2,2,2023-07-28,08:01:00,4,"plant",2023-07-28 08:01:00
"288",2,2,2023-07-28,10:01:00,5.5,"plant",2023-07-28 10:01:00
"289",2,2,2023-07-28,12:01:00,8.5,"plant",2023-07-28 12:01:00
"290",2,2,2023-07-28,14:01:00,10.5,"plant",2023-07-28 14:01:00
"291",2,2,2023-07-28,16:01:00,8.5,"plant",2023-07-28 16:01:00
"292",2,2,2023-07-28,18:01:00,8,"plant",2023-07-28 18:01:00
"293",2,2,2023-07-28,20:01:00,6,"plant",2023-07-28 20:01:00
"294",2,2,2023-07-28,22:01:00,5,"plant",2023-07-28 22:01:00
"295",2,2,2023-07-29,00:01:00,4.5,"plant",2023-07-29 00:01:00
"296",2,2,2023-07-29,02:01:00,4,"plant",2023-07-29 02:01:00
"297",2,2,2023-07-29,04:01:00,4,"plant",2023-07-29 04:01:00
"298",2,2,2023-07-29,06:01:00,3.5,"plant",2023-07-29 06:01:00
"299",2,2,2023-07-29,08:01:00,4.5,"plant",2023-07-29 08:01:00
"300",2,2,2023-07-29,10:01:00,5.5,"plant",2023-07-29 10:01:00
"301",2,2,2023-07-29,12:01:00,7.5,"plant",2023-07-29 12:01:00
"302",2,2,2023-07-29,14:01:00,9.5,"plant",2023-07-29 14:01:00
"303",2,2,2023-07-29,16:01:00,8,"plant",2023-07-29 16:01:00
"304",2,2,2023-07-29,18:01:00,6.5,"plant",2023-07-29 18:01:00
"305",2,2,2023-07-29,20:01:00,5,"plant",2023-07-29 20:01:00
"306",2,2,2023-07-29,22:01:00,4.5,"plant",2023-07-29 22:01:00
"307",2,2,2023-07-30,00:01:00,4,"plant",2023-07-30 00:01:00
"308",2,2,2023-07-30,02:01:00,4,"plant",2023-07-30 02:01:00
"309",2,2,2023-07-30,04:01:00,3.5,"plant",2023-07-30 04:01:00
"310",2,2,2023-07-30,06:01:00,3.5,"plant",2023-07-30 06:01:00
"311",2,2,2023-07-30,08:01:00,3,"plant",2023-07-30 08:01:00
"312",2,2,2023-07-30,10:01:00,5,"plant",2023-07-30 10:01:00
"313",2,2,2023-07-30,12:01:00,7,"plant",2023-07-30 12:01:00
"314",2,2,2023-07-30,14:01:00,8.5,"plant",2023-07-30 14:01:00
"315",2,2,2023-07-30,16:01:00,8.5,"plant",2023-07-30 16:01:00
"316",2,2,2023-07-30,18:01:00,6,"plant",2023-07-30 18:01:00
"317",2,2,2023-07-30,20:01:00,4.5,"plant",2023-07-30 20:01:00
"318",2,2,2023-07-30,22:01:00,4,"plant",2023-07-30 22:01:00
"319",2,2,2023-07-31,00:01:00,3.5,"plant",2023-07-31 00:01:00
"320",2,2,2023-07-31,02:01:00,2.5,"plant",2023-07-31 02:01:00
"321",2,2,2023-07-31,04:01:00,2.5,"plant",2023-07-31 04:01:00
"322",2,2,2023-07-31,06:01:00,2,"plant",2023-07-31 06:01:00
"323",2,2,2023-07-31,08:01:00,2.5,"plant",2023-07-31 08:01:00
"324",2,2,2023-07-31,10:01:00,4.5,"plant",2023-07-31 10:01:00
"325",2,2,2023-07-31,12:01:00,6,"plant",2023-07-31 12:01:00
"326",2,2,2023-07-31,14:01:00,6.5,"plant",2023-07-31 14:01:00
"327",2,2,2023-07-31,16:01:00,6.5,"plant",2023-07-31 16:01:00
"328",2,2,2023-07-31,18:01:00,5,"plant",2023-07-31 18:01:00
"329",2,2,2023-07-31,20:01:00,3.5,"plant",2023-07-31 20:01:00
"330",2,2,2023-07-31,22:01:00,3.5,"plant",2023-07-31 22:01:00
"331",2,2,2023-08-01,00:01:00,3,"plant",2023-08-01 00:01:00
"332",2,2,2023-08-01,02:01:00,2.5,"plant",2023-08-01 02:01:00
"333",2,2,2023-08-01,04:01:00,2.5,"plant",2023-08-01 04:01:00
"334",2,2,2023-08-01,06:01:00,2,"plant",2023-08-01 06:01:00
"335",2,2,2023-08-01,08:01:00,2.5,"plant",2023-08-01 08:01:00
"336",2,2,2023-08-01,10:01:00,3,"plant",2023-08-01 10:01:00
"337",2,2,2023-08-01,12:01:00,5.5,"plant",2023-08-01 12:01:00
"338",2,2,2023-08-01,14:01:00,6.5,"plant",2023-08-01 14:01:00
"339",2,2,2023-08-01,16:01:00,5,"plant",2023-08-01 16:01:00
"340",2,2,2023-08-01,18:01:00,4,"plant",2023-08-01 18:01:00
"341",2,2,2023-08-01,20:01:00,3,"plant",2023-08-01 20:01:00
"342",2,2,2023-08-01,22:01:00,3,"plant",2023-08-01 22:01:00
"343",2,2,2023-08-02,00:01:00,3,"plant",2023-08-02 00:01:00
"344",2,2,2023-08-02,02:01:00,3,"plant",2023-08-02 02:01:00
"345",2,2,2023-08-02,04:01:00,2.5,"plant",2023-08-02 04:01:00
"346",2,2,2023-08-02,06:01:00,2.5,"plant",2023-08-02 06:01:00
"347",2,2,2023-08-02,08:01:00,3,"plant",2023-08-02 08:01:00
"348",2,2,2023-08-02,10:01:00,4.5,"plant",2023-08-02 10:01:00
